title,url,rating,price,availability
Taking Shots (Assassins #1),taking-shots-assassins-1_57/index.html,star-rating Two,18.88,Instock
Starlark,starlark_56/index.html,star-rating Three,25.83,Instock
"Skip Beat!, Vol. 01 (Skip Beat! #1)",skip-beat-vol-01-skip-beat-1_55/index.html,star-rating Three,42.12,Instock
Sister Sable (The Mad Queen #1),sister-sable-the-mad-queen-1_54/index.html,star-rating Three,13.33,Instock
Shatter Me (Shatter Me #1),shatter-me-shatter-me-1_53/index.html,star-rating One,42.40,Instock
Shameless,shameless_52/index.html,star-rating Three,58.35,Instock
Shadow Rites (Jane Yellowrock #10),shadow-rites-jane-yellowrock-10_51/index.html,star-rating Four,21.72,Instock
Settling the Score (The Summer Games #1),settling-the-score-the-summer-games-1_50/index.html,star-rating Two,44.91,Instock
Sense and Sensibility,sense-and-sensibility_49/index.html,star-rating One,37.46,Instock
"Saga, Volume 1 (Saga (Collected Editions) #1)",saga-volume-1-saga-collected-editions-1_48/index.html,star-rating One,28.48,Instock
"Rhythm, Chord & Malykhin",rhythm-chord-malykhin_47/index.html,star-rating Two,28.34,Instock
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",rat-queens-vol-1-sass-sorcery-rat-queens-collected-editions-1-5_46/index.html,star-rating Five,46.96,Instock
Paradise Lost (Paradise #1),paradise-lost-paradise-1_45/index.html,star-rating One,24.96,Instock
"Paper Girls, Vol. 1 (Paper Girls #1-5)",paper-girls-vol-1-paper-girls-1-5_44/index.html,star-rating Four,21.71,Instock
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",ouran-high-school-host-club-vol-1-ouran-high-school-host-club-1_43/index.html,star-rating Three,29.87,Instock
Origins (Alphas 0.5),origins-alphas-05_42/index.html,star-rating One,28.99,Instock
One Second (Seven #7),one-second-seven-7_41/index.html,star-rating Two,52.94,Instock
On the Road (Duluoz Legend),on-the-road-duluoz-legend_40/index.html,star-rating Three,32.36,Instock
Old Records Never Die: One Man's Quest for His Vinyl and His Past,old-records-never-die-one-mans-quest-for-his-vinyl-and-his-past_39/index.html,star-rating Two,55.66,Instock
Off Sides (Off #1),off-sides-off-1_38/index.html,star-rating Five,39.45,Instock
Of Mice and Men,of-mice-and-men_37/index.html,star-rating Two,47.11,Instock
Myriad (Prentor #1),myriad-prentor-1_36/index.html,star-rating Four,58.75,Instock
My Perfect Mistake (Over the Top #1),my-perfect-mistake-over-the-top-1_35/index.html,star-rating Two,38.92,Instock
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",ms-marvel-vol-1-no-normal-ms-marvel-2014-2015-1_34/index.html,star-rating Four,39.39,Instock
Meditations,meditations_33/index.html,star-rating Two,25.89,Instock
Matilda,matilda_32/index.html,star-rating One,28.34,Instock
Lost Among the Living,lost-among-the-living_31/index.html,star-rating Four,27.70,Instock
Lord of the Flies,lord-of-the-flies_30/index.html,star-rating Three,24.89,Instock
Listen to Me (Fusion #1),listen-to-me-fusion-1_29/index.html,star-rating Three,58.99,Instock
Kitchens of the Great Midwest,kitchens-of-the-great-midwest_28/index.html,star-rating Five,57.20,Instock
Jane Eyre,jane-eyre_27/index.html,star-rating Five,38.43,Instock
Imperfect Harmony,imperfect-harmony_26/index.html,star-rating Four,34.74,Instock
Icing (Aces Hockey #2),icing-aces-hockey-2_25/index.html,star-rating Four,40.44,Instock
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",hawkeye-vol-1-my-life-as-a-weapon-hawkeye-1_24/index.html,star-rating Three,45.24,Instock
Having the Barbarian's Baby (Ice Planet Barbarians #7.5),having-the-barbarians-baby-ice-planet-barbarians-75_23/index.html,star-rating Four,34.96,Instock
"Giant Days, Vol. 1 (Giant Days #1-4)",giant-days-vol-1-giant-days-1-4_22/index.html,star-rating Four,56.76,Instock
"Fruits Basket, Vol. 1 (Fruits Basket #1)",fruits-basket-vol-1-fruits-basket-1_21/index.html,star-rating Five,40.28,Instock
Frankenstein,frankenstein_20/index.html,star-rating Two,38.00,Instock
Forever Rockers (The Rocker #12),forever-rockers-the-rocker-12_19/index.html,star-rating Three,28.80,Instock
Fighting Fate (Fighting #6),fighting-fate-fighting-6_18/index.html,star-rating Three,39.24,Instock
Emma,emma_17/index.html,star-rating Two,32.93,Instock
"Eat, Pray, Love",eat-pray-love_16/index.html,star-rating Three,51.32,Instock
Deep Under (Walker Security #1),deep-under-walker-security-1_15/index.html,star-rating Five,47.09,Instock
Choosing Our Religion: The Spiritual Lives of America's Nones,choosing-our-religion-the-spiritual-lives-of-americas-nones_14/index.html,star-rating Four,28.42,Instock
Charlie and the Chocolate Factory (Charlie Bucket #1),charlie-and-the-chocolate-factory-charlie-bucket-1_13/index.html,star-rating Three,22.85,Instock
Charity's Cross (Charles Towne Belles #4),charitys-cross-charles-towne-belles-4_12/index.html,star-rating One,41.24,Instock
Bright Lines,bright-lines_11/index.html,star-rating Five,39.07,Instock
Bridget Jones's Diary (Bridget Jones #1),bridget-joness-diary-bridget-jones-1_10/index.html,star-rating One,29.82,Instock
Bounty (Colorado Mountain #7),bounty-colorado-mountain-7_9/index.html,star-rating Four,37.26,Instock
Blood Defense (Samantha Brinkman #1),blood-defense-samantha-brinkman-1_8/index.html,star-rating Three,20.30,Instock
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",bleach-vol-1-strawberry-and-the-soul-reapers-bleach-1_7/index.html,star-rating Five,34.65,Instock
Beyond Good and Evil,beyond-good-and-evil_6/index.html,star-rating One,43.38,Instock
Alice in Wonderland (Alice's Adventures in Wonderland #1),alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,star-rating One,55.53,Instock
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",ajin-demi-human-volume-1-ajin-demi-human-1_4/index.html,star-rating Four,57.06,Instock
A Spy's Devotion (The Regency Spies of London #1),a-spys-devotion-the-regency-spies-of-london-1_3/index.html,star-rating Five,16.97,Instock
1st to Die (Women's Murder Club #1),1st-to-die-womens-murder-club-1_2/index.html,star-rating One,53.98,Instock
"1,000 Places to See Before You Die",1000-places-to-see-before-you-die_1/index.html,star-rating Five,26.08,Instock
